Country Name,Country Code,Year,Value
Albania,ALB,2015,32.8
Armenia,ARM,2015,32.4
Austria,AUT,2015,30.5
Belarus,BLR,2015,25.6
Belgium,BEL,2015,27.7
Benin,BEN,2015,47.6
Bolivia,BOL,2015,46.7
Botswana,BWA,2015,54.9
Brazil,BRA,2015,51.9
Bulgaria,BGR,2015,38.6
Cabo Verde,CPV,2015,42.4
Canada,CAN,2015,33.7
Chile,CHL,2015,45.3
China,CHN,2015,38.6
Colombia,COL,2015,51
Costa Rica,CRI,2015,48.4
Cote d'Ivoire,CIV,2015,41.5
Croatia,HRV,2015,31.1
Cyprus,CYP,2015,34
Czechia,CZE,2015,25.9
Denmark,DNK,2015,28.2
Dominican Republic,DOM,2015,45.2
Ecuador,ECU,2015,46
"Egypt, Arab Rep.",EGY,2015,31.8
El Salvador,SLV,2015,40.6
Estonia,EST,2015,32.7
Ethiopia,ETH,2015,35
Finland,FIN,2015,27.1
France,FRA,2015,32.7
"Gambia, The",GMB,2015,35.9
Georgia,GEO,2015,36.5
Germany,DEU,2015,31.7
Greece,GRC,2015,36
Honduras,HND,2015,49.2
Hungary,HUN,2015,30.4
Iceland,ISL,2015,26.8
Indonesia,IDN,2015,38.2
"Iran, Islamic Rep.",IRN,2015,35.3
Ireland,IRL,2015,31.8
Israel,ISR,2015,39.7
Italy,ITA,2015,35.4
Japan,JPN,2015,30.7
Kazakhstan,KAZ,2015,26.8
Kenya,KEN,2015,40.8
Kosovo,XKX,2015,26.5
Kyrgyz Republic,KGZ,2015,29
Latvia,LVA,2015,34.2
Lithuania,LTU,2015,37.4
Luxembourg,LUX,2015,32.9
Malaysia,MYS,2015,41.1
Malta,MLT,2015,29.4
Moldova,MDA,2015,27
Montenegro,MNE,2015,39
Myanmar,MMR,2015,38.1
Namibia,NAM,2015,59.1
Netherlands,NLD,2015,28.2
Nigeria,NGA,2015,35.9
North Macedonia,MKD,2015,35.6
Norway,NOR,2015,27.5
Pakistan,PAK,2015,31.3
Panama,PAN,2015,50.8
Paraguay,PRY,2015,47.6
Peru,PER,2015,43.4
Philippines,PHL,2015,44.6
Poland,POL,2015,31.8
Portugal,PRT,2015,35.5
Romania,ROU,2015,35.9
Russian Federation,RUS,2015,36.5
Serbia,SRB,2015,40.5
Slovak Republic,SVK,2015,26.5
Slovenia,SVN,2015,25.4
Spain,ESP,2015,36.2
St. Lucia,LCA,2015,43.7
Sweden,SWE,2015,29.2
Switzerland,CHE,2015,32.3
Tajikistan,TJK,2015,34
Thailand,THA,2015,36
Togo,TGO,2015,43
Tonga,TON,2015,33.5
Tunisia,TUN,2015,32.8
Turkiye,TUR,2015,42.9
Ukraine,UKR,2015,25.5
United Kingdom,GBR,2015,33.3
United States,USA,2015,41.5
Uruguay,URY,2015,40.1
Zambia,ZMB,2015,55.8
